isbn,name,author,stock,publisher,,price,borroweCount,type
,秋籁居琴课,成公亮讲授/程鸿媛等整理,2,生活·读书·新知三联书店,2012-04-01 00:00:00,45.00 ,0,2
,只是孩子,佩蒂．史密斯/劉奕,1,新經典文化,2012-05-01 00:00:00,370.00 ,0,2
,卡尔卡西古典吉他教程,卡尔卡西,1,人民音乐出版社,1986-01-01 00:00:00,32.30 ,0,2
,林西莉古琴的故事,林西莉/许岚熊彪,1,猫头鹰出版社,1905-07-01 00:00:00,132.00 ,0,2
,音乐分析法,克列门斯·库恩/钱泥,2,上海音乐出版社,2009-10-01 00:00:00,40.00 ,0,2
,约翰·汤普森现代钢琴教程(5),约翰·汤普森/赵晓生,2,上海音乐出版社,2005-04-01 00:00:00,22.00 ,0,2
,卡曼音乐欣赏课,罗杰·卡曼/姜旼,2,江西教育出版社,2010-04-01 00:00:00,96.00 ,0,2
,工尺谱浅说,杨荫浏,2,音乐出版社,1962-09-01 00:00:00,0.25 ,0,2
,穿过骨头抚摸你,音乐天堂,1,江西文化音像出版社,2004-01-01 00:00:00,18.00 ,0,2
,每日必弹古筝指序练习曲,项斯华,2,上海音乐出版社,2004-04-01 00:00:00,18.00 ,0,2
,我是你的男人,西尔维·西蒙斯/陈震,1,湖南文艺出版社,2014-05-01 00:00:00,68.00 ,0,2
,乐理自学指南,（美）布林霍尔/樊建勤,2,人民音乐出版社,2000-03-01 00:00:00,14.00 ,0,2
,音乐的容器,马慧,2,上海书店出版社,2014-03-01 00:00:00,35.00 ,0,2
,天堂十字路口,[英]埃里克·克莱普顿/陈震/鸟儿,2,上海人民出版社,2011-08-01 00:00:00,36.00 ,0,2
,人类的音乐,[美]耶胡迪·梅纽因/柯蒂斯·W.戴维斯/冷杉,1,人民文学出版社,2003-01-01 00:00:00,29.00 ,0,2
,黑白溢彩,邵頌雄,2,牛津大學出版社,2009-11-01 00:00:00,HK70.00,0,2
,生活在音乐中,丹尼尔·巴伦博伊姆/朱贤杰,1,上海音乐出版社,2009-03-01 00:00:00,45.00 ,0,2
,拉格泰姆时代,(美)E.L.多克特罗/刘奚,2,译林出版社,1996-09-01 00:00:00,10.50 ,0,2
,秋籁居琴话,成公亮,1,生活·读书·新知三联书店,2009-10-01 00:00:00,49.00 ,0,2
,365日！木吉他手的养成计划,野村大辅/金磊,1,湖南文艺出版社,2012-03-01 00:00:00,38.00 ,0,2
,西方音乐史,（美）唐纳德·杰·格劳特/克劳德·帕利斯卡/余志刚,2,人民音乐出版社,2010-09-01 00:00:00,138.00 ,0,2
,和声学教程,斯波索宾/陈敏,2,人民音乐出版社,2000-01-01 00:00:00,25.80 ,0,2
,迷戀音樂的腦,丹尼爾．列維廷/anielJ.Levitin,2,王心瑩,大家出版社,,0,2
,披头士（上下册）,鲍勃·施皮茨/董楠,1,江苏人民出版社,2013-03-01 00:00:00,69.00 ,0,2
,约翰·汤普森现代钢琴教程,汤普森,1,上海音乐出版社,1995-12-01 00:00:00,17.00 ,0,2
,莫扎特书信集,钱仁康,1,上海音乐学院出版社,2003-12-01 00:00:00,30.00 ,0,2
,Slash,Slash/AnthonyBozza,1,ItBooks,2007-10-30 00:00:00,27.95 ,0,2
,What to Listen for in Music,AaronCoplan,1,SignetClassics,2002-11-01 00:00:00,20.00 ,0,2
,音乐小百科,[荷]雨果·平克斯特波尔尔(HugoPinksterboer)/阳军,2,上海音乐出版社,2007-04-01 00:00:00,15.00 ,0,2
